ages,gender,religion,role,agr_bhv,rel_fnt,hst_twd_for,lvl_rct_act,crt_agr_lvl,rel_agr,is_current_threat,prob_threat
37,0,0,0,0.594035972,0.601133248,0.562219638,0.508593604,0.683242651,0.38906096,,
35,0,0,1,0.011702607,0.713968758,0.209855069,0.371700118,0.540901493,0.00910324,,
32,0,0,0,0.579874212,0.654116327,0.54727716,0.626663074,0.218342965,0.413259594,,
38,0,0,1,0.814313133,0.694427103,0.628503253,0.590197053,0.803876377,0.616101494,,
34,0,0,2,0.330952684,0.714223221,0.144315488,0.754638682,0.479380849,0.25753368,,
37,0,0,0,0.563637159,0.566332799,0.550933411,0.292766861,0.714699495,0.347780712,,
33,0,0,1,0.314050389,0.437392565,0.134294917,0.107307068,0.701760964,0.149659708,,
40,1,1,0,0.410846713,0.608680826,0.470811578,0.311315151,0.739431776,0.272460531,,
29,1,0,2,0.270392249,0.51172719,0.620859368,0.456154109,0.952841472,0.150753322,,
38,0,0,3,0.364546169,0.731228954,0.456117537,0.645865758,0.883339113,0.290429066,,
25,0,0,0,0.696766696,0.679485052,0.861757984,0.29633476,0.395725021,0.515823889,,
36,0,0,2,0.541434029,0.545338794,0.429293558,0.449145208,0.754599714,0.321696327,,
45,0,1,0,0.779991696,0.52989298,0.074646365,0.330846218,0.736238334,0.45031074,,
28,0,0,0,0.457413275,0.635811551,0.544318811,0.508952637,0.625503317,0.316862861,,
36,1,0,0,0.499939474,0.48135086,0.896022935,0.751728802,0.592804012,0.262188321,,
32,0,0,1,0.572262078,0.501123242,0.410345437,0.065310879,0.639049701,0.312445068,,
30,0,0,1,0.308791403,0.652589417,0.547816172,0.19930358,0.92498194,0.219553006,,
41,0,0,0,0.136463733,0.496325425,0.272710663,0.136697694,0.956384151,0.07379347,,
40,0,0,3,0.301818233,0.63665404,0.607878368,0.459863012,0.205690315,0.209354901,,
43,1,1,1,0.393007704,0.7268029,0.288026774,0.687871533,0.828984021,0.311208805,,
29,0,0,2,0.372883899,0.555409464,0.428561429,0.883685369,0.685771719,0.225642585,,
37,0,0,1,0.567276064,0.614876395,0.705505478,0.383158346,0.641264035,0.380028739,,
33,0,1,0,0.02062313,0.57225355,0.427378922,0.028989502,0.82480464,0.012858113,,
36,0,0,1,0.270216965,0.623900459,0.011934072,0.069906352,0.710612008,0.183680087,,
37,1,0,0,0.536237653,0.78995939,0.925923608,0.490040773,0.696599139,0.461526064,,
33,0,0,0,0.342016093,0.430457524,0.822082417,0.515389254,0.344157207,0.160402453,,
35,0,0,2,0.679264241,0.642176008,0.334857975,0.247972877,0.463187307,0.475255322,,
41,0,0,1,0.182935818,0.790097592,0.565246561,0.299282145,0.246420059,0.157475735,,
30,0,0,2,0.352469225,0.841136375,0.744585667,0.694076554,0.581694599,0.323014322,,
29,0,0,0,0.739343914,0.703630521,0.168603894,0.249122416,0.188594504,0.566794115,,
32,0,0,0,0.503062567,0.729341959,0.287576332,0.275386681,0.141939634,0.399748978,,
37,0,1,2,0.402529222,0.643699084,0.391008088,0.342610184,0.297131555,0.282302332,,
41,0,0,0,0.076829661,0.653716632,0.48449454,0.874283904,0.235224599,0.054720822,,
46,0,0,0,0.567686453,0.709445672,0.68557936,0.202825433,0.766789366,0.438795166,,
52,0,0,0,0.732714509,0.595916058,0.481819865,0.483377984,0.791522555,0.475722881,,
28,0,0,0,0.493857541,0.539908668,0.69218556,0.537764882,0.04858619,0.290506698,,
40,0,0,2,0.075267709,0.388639754,0.667552256,0.330559312,0.829296291,0.031870588,,
38,0,0,0,0.462256521,0.513262283,0.202367891,0.231562748,0.277997767,0.258497625,,
35,0,0,0,0.523989869,0.635472004,0.511331026,0.973584248,0.701614728,0.362788467,,
38,0,1,0,0.154223836,0.652051986,0.062266794,0.015740147,0.163642025,0.109564001,,
33,0,0,0,0.174426202,0.413314336,0.098513433,0.277004894,0.981974804,0.078546412,,
38,0,0,0,0.476007928,0.863825644,0.092241124,0.331962937,0.983884413,0.447996312,,
41,1,0,0,0.165938484,0.628940871,0.734683598,0.373420723,0.162917371,0.11370802,,
35,0,0,0,0.83415483,0.524998256,0.475091635,0.00063345,0.784552862,0.47713216,,
30,0,1,1,0.545177597,0.781806915,0.734679276,0.204526895,0.042809049,0.464378034,,
25,0,0,0,0.286807798,0.434281549,0.591271082,0.221758275,0.767258365,0.135705201,,
36,0,0,1,0.403795713,0.456940066,0.818011961,0.324218542,0.569824133,0.20102733,,
26,0,1,0,0.699279024,0.271985308,0.175485245,0.500860868,0.388365573,0.207219254,,
46,0,1,0,0.575238007,0.616006871,0.796244108,0.246190354,0.412070895,0.386071097,,
44,0,0,1,0.427769665,0.922172416,0.097197043,0.578367153,0.658401221,0.429789966,,
37,1,0,0,0.667968833,0.497923279,0.394532202,0.389247569,0.344004349,0.362370463,,
35,0,0,0,0.464570001,0.64567081,0.839617875,0.368821949,0.386215037,0.326810857,,
34,0,0,0,0.456772474,0.511165994,0.204594357,0.530133723,0.420912471,0.254387659,,
44,0,0,1,0.30492048,0.533115797,0.739775961,0.539940326,0.885703831,0.177109683,,
33,0,0,1,0.759951519,0.429915827,0.450503599,0.290705273,0.90030411,0.355961871,,
35,0,0,2,0.411683317,0.702704871,0.507918635,0.485495238,0.628436672,0.315188521,,
32,0,0,2,0.454333358,0.56556336,0.89513923,0.698732482,0.876103089,0.279956175,,
30,1,0,0,0.506227211,0.698539967,0.543542413,0.235195209,0.842500079,0.385275068,,
28,0,0,0,0.116780618,0.438560442,0.81297808,0.397832555,0.171790266,0.055800024,,
36,0,1,1,0.504276941,0.637094181,0.89768923,0.542875474,0.571016057,0.350031322,,
32,0,0,2,0.308886699,0.365588391,0.828285228,0.205995404,0.678272754,0.123034176,,
36,0,0,1,0.32667915,0.712022036,0.653173517,0.410394264,0.604016788,0.253424741,,
40,0,0,2,0.844816274,0.595240972,0.691613818,0.681479751,0.346463033,0.547884796,,
40,0,0,0,0.470085928,0.730166721,0.563156584,0.244090297,0.612280786,0.373967142,,
30,0,0,0,0.443656374,0.69658374,0.444379309,0.531755038,0.887379148,0.336708608,,
35,0,1,0,0.267075129,0.458495579,0.504014667,0.362467519,0.457221769,0.133414416,,
43,0,0,0,0.207399285,0.485435406,0.204330058,0.407166136,0.742704581,0.109691472,,
40,0,0,0,0.165316693,0.454765253,0.713036096,0.099120168,0.427129281,0.08191023,,
38,0,1,0,0.733329706,0.512147776,0.597548721,0.927873819,0.178103621,0.409193503,,
34,0,1,3,0.027693824,0.767544751,0.331739168,0.557458735,0.651578171,0.023159053,,
33,0,0,0,0.40480103,0.738526876,0.255299295,0.086257847,0.619530509,0.325718236,,
39,0,1,1,0.16159023,0.553276853,0.425102631,0.781949045,0.587739926,0.097407357,,
35,0,0,3,0.806051741,0.595260511,0.763137939,0.093260523,0.629022459,0.522762172,,
27,1,0,0,0.036672528,0.43498493,0.407065095,0.054245095,0.328612087,0.017379978,,
38,0,0,1,0.622405829,0.468484637,0.727834736,0.439432726,0.906096925,0.317689722,,
32,0,1,0,0.324342231,0.793002173,0.993955004,0.256686336,0.521481213,0.280228329,,
36,0,0,0,0.21020948,0.56900692,0.914139269,0.033422387,0.942488702,0.13031788,,
36,0,0,2,0.264848254,0.533932564,0.427876468,0.003450941,0.975872234,0.154069858,,
38,1,1,1,0.183154363,0.624310638,0.369830869,0.953871798,0.625066353,0.124581101,,
36,1,0,0,0.289461567,0.549633198,0.209014558,0.174053805,0.541739956,0.173339694,,
40,1,0,0,0.401777347,0.720080504,0.470295731,0.971249269,0.841944329,0.315210488,,
34,0,0,3,0.141544177,0.797605257,0.370866023,0.553563129,0.170836531,0.123002567,,
39,0,1,0,0.582565359,0.63821034,0.560227094,0.101916324,0.026287551,0.405081727,,
36,1,0,0,0.53442997,0.496397373,0.540098777,0.573463236,0.513499729,0.289037665,,
37,0,0,3,0.269533807,0.301358404,0.124771468,0.264998715,0.565231041,0.088497441,,
34,0,1,1,0.257934164,0.614642396,0.885905302,0.792358964,0.209091875,0.172729113,,
35,0,0,0,0.540769961,0.256708964,0.766192239,0.431436293,0.776129493,0.151247343,,
31,0,0,0,0.494761027,0.589969909,0.463481812,0.348498293,0.471064357,0.318023713,,
39,0,0,2,0.709236995,0.576136616,0.32903377,0.340057068,0.403210303,0.445195759,,
27,0,0,0,0.915606682,0.834924299,0.407395534,0.063912359,0.611384645,0.832894922,,
44,0,1,2,0.218037191,0.488279109,0.435182889,0.755185831,0.761917581,0.115993294,,
36,0,0,1,0.425941754,0.636978078,0.278013291,0.874712279,0.369182541,0.295603016,,
33,0,0,0,0.645513195,0.676753425,0.974281534,0.589056336,0.0285161,0.475959223,,
31,0,0,0,0.123064146,0.816604259,0.78896,0.18695954,0.297248928,0.109490728,,
29,0,0,2,0.423764992,0.569764844,0.790102823,0.147840483,0.768564765,0.263060042,,
38,0,0,0,0.389911493,0.779902925,0.936365241,0.091629103,0.617488089,0.331314731,,
34,0,0,0,0.166399537,0.464821538,0.133961456,0.189706072,0.362300566,0.084269908,,
37,0,0,1,0.663712398,0.513640915,0.349566852,0.191113309,0.603572808,0.371427198,,
36,0,0,1,0.433992618,0.613299117,0.513990173,0.213467388,0.113357225,0.289993887,,
45,0,0,1,0.724508176,0.698033401,0.436125264,0.356423481,0.534527348,0.551002609,,
42,0,0,2,0.753679732,0.678914983,0.188183632,0.107778101,0.193302404,0.557489112,,
26,0,0,0,0.657887847,0.821633547,0.225680118,0.45493834,0.506814189,0.588930691,,
43,0,0,1,0.518829341,0.577824495,0.450577343,0.327907997,0.674035361,0.326628922,,
34,0,1,0,0.62525621,0.651886033,0.540151134,0.158807634,0.050443147,0.444082696,,
34,0,0,0,0.470221905,0.737238287,0.678600224,0.104858971,0.582200008,0.377698185,,
41,0,0,0,0.384667462,0.734730059,0.615191206,0.469072344,0.463616108,0.307926751,,
37,0,0,2,0.307934824,0.544300402,0.087465149,0.737538774,0.705883409,0.182612971,,
32,1,0,0,0.593786653,0.78575397,0.018627209,0.324801891,0.66948505,0.508336361,,
33,1,0,0,0.651717943,0.52191291,0.351929763,0.312978832,0.568477321,0.370588448,,
37,0,0,1,0.4639678,0.576668617,0.755805929,0.39819139,0.396549694,0.291506551,,
38,0,0,2,0.205795875,0.604350313,0.841194145,0.060180871,0.693162373,0.135506328,,
32,0,0,3,0.58703386,0.603286526,0.363649019,0.347624148,0.379438653,0.385852162,,
27,0,0,0,0.14089467,0.518875673,0.320993299,0.335866201,0.582036062,0.079651147,,
41,0,0,2,0.096763667,0.718177276,0.487720235,0.146686985,0.968487153,0.075714339,,
44,0,0,2,0.540875907,0.642524306,0.0457501,0.427125938,0.567518734,0.378635525,,
39,0,0,1,0.512346697,0.724082971,0.339146426,0.283343442,0.82440369,0.40419081,,
43,0,0,0,0.635938021,0.551759852,0.010209264,0.163131299,0.809436056,0.382295379,,
28,0,0,0,0.188337418,0.771319731,0.561355842,0.335384923,0.72556013,0.158272409,,
38,0,0,2,0.677862522,0.624697055,0.502152824,0.466449976,0.351446469,0.461365634,,
40,0,1,0,0.201974748,0.595157549,0.314345975,0.728862085,0.003155047,0.130967393,,
28,0,0,0,0.141762439,0.290631277,0.430480338,0.203788587,0.907224242,0.044888768,,
42,0,1,0,0.344588328,0.555183166,0.049257432,0.351491207,0.39932218,0.208435176,,
41,1,0,1,0.420746598,0.546384045,0.94379193,0.190498419,0.697650794,0.250468308,,
31,0,1,0,0.104617692,0.846006312,0.583097277,0.755736479,0.793112394,0.096430162,,
32,0,0,0,0.874972412,0.625521755,0.454790587,0.035240038,0.14024054,0.596308416,,
37,0,0,1,0.375189523,0.598080193,0.329854395,0.624516633,0.462613073,0.244480532,,
40,0,0,1,0.359613647,0.492227286,0.443536731,0.076736265,0.807006912,0.192857268,,
40,1,0,0,0.233211063,0.170496742,0.579098801,0.171733672,0.673836348,0.043321092,,
29,0,0,3,0.329894258,0.620030567,0.320533722,0.479723573,0.091997325,0.222854813,,
45,0,0,0,0.703713984,0.486205743,0.348658818,0.503978533,0.422665114,0.372778131,,
45,0,0,2,0.645309535,0.581304838,0.971708928,0.331709821,0.398100835,0.408701452,,
33,0,0,1,0.62409743,0.402254625,0.431663955,0.079457689,0.779740878,0.273519063,,
29,1,0,1,0.128352386,0.325215258,0.635040052,0.243601887,0.475459284,0.045478802,,
28,0,0,1,0.110420389,0.572084907,0.101678384,0.45875797,0.665729666,0.068824636,,
29,0,0,0,0.328461235,0.738567692,0.789108753,0.258580346,0.833916593,0.264306953,,
40,0,0,0,0.799728588,0.600181418,0.423550518,0.843017171,0.265034335,0.522948988,,
41,0,1,0,0.977107569,0.709649269,0.504414688,0.64525585,0.38240731,0.755475349,,
29,1,0,0,0.453025801,0.807441504,0.749025789,0.409659812,0.876496061,0.398536559,,
44,0,0,0,0.291114035,0.593646164,0.868903817,0.623622473,0.370130625,0.188289009,,
34,0,0,0,0.919638378,0.446729921,0.012219341,0.402386226,0.776490479,0.447606402,,
42,0,1,0,0.534504784,0.853103105,0.348928121,0.454990973,0.227387078,0.496806512,,
38,0,0,0,0.219800374,0.560288881,0.78472807,0.563305171,0.34158726,0.134175923,,
41,0,0,0,0.103148122,0.551333333,0.717311142,0.687098657,0.352658946,0.061959761,,
42,0,0,1,0.709286754,0.609420302,0.171862584,0.485443706,0.163164365,0.470947968,,
28,1,0,2,0.401821227,0.814826453,0.152035322,0.551176521,0.946088477,0.356723858,,
42,0,0,1,0.39781013,0.555381728,0.368831053,0.642871222,0.294287946,0.240714131,,
39,0,1,2,0.216396049,0.511828237,0.667557371,0.016013765,0.210306599,0.120672339,,
34,1,1,0,0.363216028,0.511147822,0.325305926,0.287965966,0.050924367,0.202276616,,
33,0,1,1,0.663939714,0.608427399,0.23746149,0.119040601,0.539331002,0.440120472,,
34,0,0,2,0.13115841,0.662249727,0.484895813,0.097289747,0.846571122,0.094635067,,
39,0,1,0,0.074931522,0.654236994,0.844945178,0.278462268,0.661638314,0.053411382,,
35,0,0,1,0.118953117,0.253999527,0.350869779,0.179171476,0.906780089,0.032918717,,
33,0,1,0,0.139038596,0.716968461,0.276597262,0.223990124,0.478877749,0.108609943,,
37,1,0,0,0.594030344,0.467118195,0.410651141,0.106734419,0.825394877,0.302321877,,
35,0,0,0,0.484123226,0.802667879,0.132129405,0.237693995,0.345509638,0.423375735,,
41,0,0,0,0.463560808,0.711199426,0.168698586,0.39657811,0.797038396,0.359196643,,
39,0,0,1,0.019554367,0.566586427,0.303994232,0.316542171,0.487492624,0.012071024,,
36,0,0,0,0.595428204,0.678164987,0.229606343,0.350232949,0.348203582,0.439945547,,
38,0,0,1,0.408129024,0.504296244,0.347964436,0.219969607,0.041700737,0.224242215,,
34,0,0,0,0.379318854,0.438272309,0.384054206,0.665572294,0.650489188,0.181126762,,
32,0,0,1,0.713050398,0.623290698,0.310421534,0.230081468,0.685305393,0.484222575,,
45,0,0,1,0.256280993,0.603577147,0.775669855,0.480414777,0.502213831,0.168532377,,
37,0,0,2,0.245475808,0.338585812,0.460280783,0.624383067,0.399588123,0.090554829,,
32,0,0,2,0.058076499,0.703381285,0.420016152,0.067619069,0.304833693,0.044506701,,
31,0,0,3,0.288158066,0.549813107,0.43908462,0.194670918,0.233250594,0.172615595,,
45,0,0,0,0.311373131,0.636126198,0.070792236,0.436388689,0.515442237,0.215803546,,
43,0,0,0,0.909505051,0.483967246,0.772272057,0.532302308,0.471179892,0.479573576,,
33,0,0,1,0.059188564,0.733687179,0.614528857,0.780947657,0.552103996,0.047313262,,
36,0,1,0,0.11653828,0.727942746,0.116722204,0.262899503,0.149896038,0.092427241,,
40,0,0,1,0.276130373,0.525891087,0.653174215,0.407671234,0.370459478,0.158213723,,
44,0,1,3,0.426210225,0.743438507,0.293085248,0.616193826,0.239161151,0.345225667,,
45,0,0,2,0.015011007,0.5278896,0.637699605,0.605085852,0.745096834,0.008633504,,
41,0,0,0,0.901287406,0.424573598,0.284854301,0.606160466,0.806511674,0.416917809,,
39,0,0,0,0.236940345,0.549490304,0.298645112,0.607528803,0.843213434,0.141851264,,
36,0,0,1,0.77919112,0.457202814,0.419401139,0.512059765,0.658968762,0.388138792,,
35,0,1,0,0.29517789,0.318914009,0.500353909,0.292848357,0.403831084,0.102563205,,
37,0,0,2,0.59329466,0.729375197,0.683708817,0.124251229,0.575480409,0.471471658,,
33,0,0,1,0.444390822,0.693775589,0.658973903,0.230440343,0.770818414,0.335906383,,
41,0,0,1,0.908208397,0.909957679,0.460007813,0.814176228,0.067730502,0.900411157,,
33,0,0,0,0.706306018,0.473896927,0.199876495,0.678400471,0.234141836,0.364679172,,
35,0,0,1,0.074751511,0.700415842,0.773397734,0.234285224,0.256945994,0.057044017,,
30,0,0,1,0.465527829,0.654537528,0.255263471,0.23918213,0.473948478,0.331981865,,
41,0,1,0,0.707068226,0.566592137,0.213233749,0.346016965,0.262314615,0.436481684,,
44,1,1,0,0.617225038,0.437367164,0.582549113,0.218465259,0.653491682,0.294119535,,
39,1,1,1,0.246573801,0.653418253,0.390231199,0.586715902,0.520880317,0.175538488,,
39,0,0,0,0.446247326,0.616673171,0.584579204,0.350250884,0.349738623,0.299822929,,
28,0,0,0,0.701307073,0.651592656,0.273918259,0.225519085,0.442279073,0.497872984,,
40,0,0,1,0.629843537,0.72144148,0.031385123,0.439640574,0.231738411,0.495071524,,
42,0,0,0,0.361965895,0.694836981,0.586177671,0.100520875,0.565215119,0.274021562,,
41,0,0,3,0.579150082,0.632125626,0.703831392,0.585228013,0.389184049,0.398867526,,
39,0,0,2,0.355434069,0.691497802,0.487917498,0.302748927,0.340965254,0.267783626,,
35,0,0,0,0.680197957,0.550386881,0.565877586,0.335478922,0.123136873,0.407884834,,
39,0,1,2,0.203905431,0.481285515,0.605576703,0.215897114,0.616892368,0.106921673,,
32,0,0,0,0.623790414,0.946593605,0.658925536,0.610692842,0.352831157,0.643333879,,
38,0,0,0,0.202426603,0.734002185,0.653075588,0.110233459,0.613168086,0.161882201,,
35,0,1,0,0.031524636,0.651987599,0.25060112,0.630199279,0.558810788,0.022393583,,
36,0,0,0,0.264013986,0.834470165,0.849731194,0.908244421,0.018812166,0.240033528,,
33,0,0,1,0.627291172,0.494871367,0.33482283,0.07392387,0.10477599,0.338217179,,
35,0,0,0,0.634938979,0.658124128,0.243202717,0.298822414,0.771638617,0.455275168,,
45,0,1,0,0.876880728,0.594631589,0.366082812,0.055049515,0.959405411,0.568097218,,
34,0,0,0,0.475753478,0.813701179,0.249096939,0.533796618,0.251916208,0.421775236,,
47,1,0,2,0.152568725,0.535304264,0.735695221,0.12266691,0.803252985,0.088981635,,
34,0,0,2,0.222418108,0.253146305,0.633072769,0.004441361,0.657259188,0.061344537,,
28,0,0,1,0.427194706,0.558077245,0.570201043,0.090011053,0.7082192,0.259749271,,
40,0,0,1,0.219755862,0.54756033,0.461455423,0.532147974,0.631521004,0.131101182,,
40,0,0,0,0.270225266,0.402848127,0.017331333,0.35842429,0.052879159,0.11860458,,
37,1,0,1,0.415625871,0.518207523,0.154164091,0.10497371,0.201323571,0.234660746,,
37,0,0,0,0.167136337,0.611136042,0.717817322,0.457905203,0.68951802,0.111286617,,
25,0,0,2,0.014021591,0.773800778,0.528798252,0.330739069,0.537636136,0.011821174,,
44,0,0,0,0.266993798,0.541097003,0.217948139,0.055593723,0.985314892,0.157402079,,
35,0,0,0,0.54823426,0.767957955,0.568416513,0.619507131,0.328452569,0.458709543,,
34,0,1,3,0.060220695,0.530192558,0.263171929,0.250525403,0.267053829,0.034786726,,
33,0,0,3,0.280226162,0.455183469,0.30300835,0.112231881,0.659712578,0.138972644,,
28,0,0,2,0.238470908,0.290926838,0.241288113,0.205395389,0.707419571,0.075588087,,
40,0,0,1,0.239656454,0.597489697,0.479516759,0.153534772,0.253704554,0.156010457,,
36,0,0,0,0.392765423,0.627122922,0.755745115,0.183515028,0.912418077,0.268361421,,
31,0,0,1,0.575710725,0.634838884,0.573573471,0.093921556,0.45249563,0.398200682,,
27,0,0,0,0.519189936,0.250346944,0.337160138,0.569276319,0.095930766,0.141612869,,
38,0,0,0,0.520113224,0.585824689,0.659382273,0.207392654,0.65375023,0.331970679,,
39,0,1,0,0.066938915,0.697316261,0.554696624,0.201911209,0.453593895,0.05085605,,
40,0,0,2,0.466336743,0.677344963,0.916199413,0.014802757,0.625305103,0.344146772,,
31,0,0,1,0.937315049,0.575176976,0.679653201,0.424951956,0.465339379,0.587382825,,
40,0,0,1,0.13338933,0.487226049,0.485533258,0.095015529,0.336101924,0.070808558,,
34,0,1,1,0.629187909,0.557472549,0.665288007,0.240436374,0.456243079,0.382153653,,
41,0,0,0,0.558881461,0.729872565,0.41517039,0.019491523,0.665453721,0.444427479,,
20,0,1,1,0.822522873,0.493462574,0.41949502,0.176164265,0.243111677,0.442217947,,
36,0,0,0,0.234808114,0.88214205,0.188006512,0.052414461,0.326216015,0.225676212,,
44,0,0,2,0.709696088,0.70636178,0.313756409,0.397818411,0.802939625,0.546177448,,
33,0,0,0,0.024529935,0.647859507,0.328984939,0.032221288,0.399785562,0.017314557,,
45,0,0,1,0.95436118,0.630467968,0.529790539,0.452840938,0.851219839,0.655556235,,
31,0,0,0,0.190051576,0.594819142,0.14948556,0.566221596,0.612184658,0.123165924,,
40,0,0,0,0.867758145,0.497091986,0.610125257,0.303131403,0.826591792,0.469969443,,
34,0,0,0,0.287748358,0.829769236,0.551776601,0.013285534,0.323905684,0.260138328,,
42,0,0,0,0.31016989,0.774527385,0.615158211,0.451844585,0.552552209,0.261740287,,
38,0,0,2,0.083764483,0.424804573,0.901271752,0.951574812,0.43927451,0.03876888,,
47,0,1,0,0.523364743,0.822042363,0.657948247,0.152345194,0.516469439,0.46874087,,
40,0,0,0,0.469633375,0.774386239,0.669346029,0.821936664,0.837599479,0.396233089,,
39,0,0,0,0.40166546,0.678895245,0.079052941,0.844025041,0.443247071,0.297099154,,
43,0,0,2,0.642709466,0.642094555,0.787488656,0.05592671,0.648438507,0.449622301,,
33,0,0,0,0.402884816,0.508516592,0.504171781,0.148763906,0.397484319,0.223213362,,
38,0,0,1,0.212265304,0.552985969,0.218868643,0.418308868,0.494512344,0.12788726,,
36,0,0,1,0.24192644,0.867666308,0.10368315,0.1114697,0.463167395,0.22870214,,
45,0,1,1,0.280570646,0.723026657,0.239913776,0.630727513,0.783993016,0.221019556,,
37,0,0,2,0.841530466,0.356555157,0.472786349,0.274313963,0.341279909,0.326911897,,
38,0,1,0,0.360135889,0.585596204,0.594266015,0.020111881,0.379768063,0.229772905,,
34,0,1,2,0.442306122,0.49972995,0.446829711,0.118714626,0.961197079,0.240819965,,
30,0,0,0,0.077624407,0.827274429,0.102595172,0.497122678,0.084284451,0.069965196,,
35,0,0,0,0.385191515,0.487802667,0.973593522,0.372014409,0.361430793,0.204717535,,
35,0,1,1,0.191572971,0.616239026,0.601398447,0.50197356,0.515424488,0.128622692,,
39,0,0,0,0.419121948,0.507753773,0.539303299,0.541945934,0.186053787,0.23186101,,
38,0,0,0,0.362710416,0.7897775,0.547626681,0.169654269,0.388287744,0.31210372,,
31,0,0,0,0.408030258,0.602973357,0.390282581,0.244576947,0.344380541,0.268055457,,
32,0,0,1,0.494600905,0.667651903,0.868367308,0.140027065,0.468629217,0.359781774,,
38,0,1,2,0.413292455,0.535783464,0.104980272,0.79471696,0.786828709,0.241257567,,
31,0,0,2,0.271687042,0.712731242,0.022265107,0.906504096,0.759373056,0.210973973,,
30,0,0,2,0.609010216,0.831610106,0.546140345,0.387559109,0.717734277,0.551795935,,
38,0,0,2,0.603786461,0.650931276,0.132553757,0.201127892,0.398419582,0.428205923,,
34,0,0,0,0.292087894,0.262468333,0.059135794,0.349344184,0.32694302,0.083526567,,
45,0,0,1,0.395876681,0.76219471,0.286299183,0.112601562,0.531599956,0.328745647,,
31,0,1,0,0.570244826,0.571335286,0.575841666,0.406589659,0.503064975,0.35496584,,
35,1,1,0,0.228141324,0.566529302,0.435404078,0.159197091,0.570445386,0.140818753,,
29,0,0,0,0.363952657,0.405878775,0.884575115,0.079465569,0.588576214,0.160944224,,
41,0,0,0,0.403676495,0.218096977,0.579910248,0.682643353,0.866390319,0.095921789,,
34,0,1,2,0.092336448,0.860581761,0.554857159,0.39009672,0.488055344,0.086576388,,
34,0,0,0,0.260439984,0.747640401,0.342162639,0.226533573,0.673986624,0.21214587,,
41,0,0,1,0.229010885,0.602436802,0.906822765,0.2769294,0.767955082,0.150314812,,
34,0,0,3,0.756667965,0.649388976,0.494725492,0.048511806,0.948412268,0.535358152,,
32,0,0,1,0.58756048,0.515077752,0.242569419,0.703672849,0.275264825,0.32973081,,
40,0,0,0,0.281130228,0.564783915,0.659332177,0.279814024,0.94248546,0.172991205,,
32,0,1,1,0.763852393,0.697838685,0.589873406,0.074709775,0.74947413,0.580762606,,
34,0,0,2,0.005252207,0.639248264,0.867688125,0.515366987,0.570162832,0.003658016,,
39,0,0,1,0.371842176,0.717449254,0.578724178,0.458544439,0.233443338,0.290659148,,
